duration,distance,place,type
06:31:49,312.32,MACAÉ,CARRETA
06:01:09,311.37,SÃO PAULO,VUC
06:43:01,311.29,SÃO PAULO,VUC
06:32:12,311.27,DUQUE DE CAXIAS,VUC
05:35:24,310.86,SÃO PAULO,TOCO
07:26:05,310.75,SÃO PAULO,VUC
07:26:06,310.13,SÃO PAULO,TOCO
06:03:30,309.56,SÃO PAULO,TOCO
07:01:57,309.26,SÃO PAULO,VUC
07:25:00,308.71,SÃO PAULO,TOCO
06:20:53,308.4,SÃO PAULO,TOCO
05:54:01,307.92,SÃO PAULO,VUC
05:33:39,306.47,DUQUE DE CAXIAS,VUC
07:14:55,306.24,SÃO PAULO,VUC
04:34:14,305.79,SÃO PAULO,TOCO
07:19:45,305.67,DUQUE DE CAXIAS,TOCO
07:30:09,305.31,SÃO PAULO,TOCO
05:54:25,303.48,SÃO PAULO,VUC
04:44:12,303.08,SÃO PAULO,TOCO
07:10:13,302.53,DUQUE DE CAXIAS,VUC
05:43:15,302.41,SÃO PAULO,TOCO
07:04:05,301.81,RISER,CARRETA
05:03:33,301.5,SÃO PAULO,VUC
06:18:07,299.58,DUQUE DE CAXIAS,VUC
05:46:16,297.97,MACAÉ,VUC
05:49:56,295.44,DUQUE DE CAXIAS,VUC
05:36:11,295.25,SÃO PAULO,VUC
05:56:51,294.97,SÃO PAULO,VUC
05:38:15,294.97,SÃO PAULO,TOCO
06:46:42,294.46,SÃO PAULO,VUC
07:43:33,294.28,SÃO PAULO,TOCO
07:47:56,292.64,RISER,CARRETA
06:02:31,292.5,VITÓRIA,VUC
06:38:10,292.07,MACAÉ,CARRETA
05:54:56,292.0,MACAÉ,CARRETA
06:42:44,291.78,MACAÉ,CARRETA
06:56:15,291.41,SÃO PAULO,VUC
07:03:29,288.94,DUQUE DE CAXIAS,VUC
07:13:31,287.42,DUQUE DE CAXIAS,TOCO
05:43:56,285.47,SÃO PAULO,VUC
06:50:11,285.28,SÃO PAULO,TOCO
07:40:26,283.7,SÃO PAULO,VUC
07:10:31,283.2,MACAÉ,CARRETA
07:56:15,282.32,MACAÉ,CARRETA
06:08:34,281.99,SÃO PAULO,TOCO
05:42:54,281.59,MACAÉ,CARRETA
05:58:17,281.39,MACAÉ,CARRETA
05:46:06,279.8,SÃO PAULO,TOCO
06:34:25,279.48,SÃO PAULO,VUC
04:11:39,279.42,SÃO PAULO,TOCO
06:26:30,278.79,SÃO PAULO,VUC
06:48:04,277.75,MACAÉ,CARRETA
07:02:06,277.51,MACAÉ,CARRETA
06:02:02,276.83,SÃO PAULO,VUC
07:04:00,276.61,SÃO PAULO,VUC
04:58:41,276.23,SÃO PAULO,VUC
05:41:58,275.57,SÃO PAULO,VUC
06:45:32,275.04,MACAÉ,CARRETA
05:58:22,274.92,SÃO PAULO,VUC
04:51:14,273.83,MACAÉ,VUC
05:39:48,273.62,MACAÉ,CARRETA
05:12:41,273.33,SÃO PAULO,VUC
07:04:18,272.79,MACAÉ,CARRETA
06:14:39,271.32,DUQUE DE CAXIAS,VUC
08:23:26,271.25,VITÓRIA,VUC
06:09:25,271.1,MACAÉ,CARRETA
06:18:58,270.86,SÃO PAULO,VUC
05:41:37,269.67,MACAÉ,CARRETA
05:26:31,269.29,VITÓRIA,VUC
04:06:53,268.85,SÃO PAULO,TOCO
04:22:25,268.79,SÃO PAULO,TOCO
06:46:51,267.5,MACAÉ,CARRETA
05:20:07,267.44,SÃO PAULO,TOCO
05:39:52,267.17,SÃO PAULO,VUC
06:46:31,266.25,SÃO PAULO,VUC
06:43:58,264.95,RISER,CARRETA
06:03:12,264.81,SÃO PAULO,VUC
06:13:38,264.25,MACAÉ,CARRETA
09:37:05,264.17,DUQUE DE CAXIAS,VUC
06:23:54,264.03,DUQUE DE CAXIAS,CARRETA
06:45:34,263.94,DUQUE DE CAXIAS,VUC
06:58:14,263.32,SÃO PAULO,VUC
05:46:22,263.16,SÃO PAULO,TOCO
05:45:45,262.83,DUQUE DE CAXIAS,CARRETA
06:00:15,262.27,SÃO PAULO,VUC
07:29:14,261.85,MACAÉ,CARRETA
05:20:39,260.97,DUQUE DE CAXIAS,VUC
05:18:19,260.38,MACAÉ,CARRETA
05:19:40,259.28,SÃO PAULO,TOCO
05:23:47,259.13,MACAÉ,CARRETA
06:10:40,258.81,DUQUE DE CAXIAS,VUC
05:13:08,258.14,MACAÉ,CARRETA
07:03:15,257.69,SÃO PAULO,VUC
05:43:56,257.5,MACAÉ,CARRETA
04:03:27,257.48,SÃO PAULO,TOCO
08:38:39,257.36,SÃO PAULO,VUC
08:33:53,256.96,MACAÉ,CARRETA
05:59:04,256.75,SÃO PAULO,TOCO
05:13:30,255.87,VITÓRIA,VUC
04:22:39,254.49,DUQUE DE CAXIAS,VUC
06:45:12,254.0,SÃO PAULO,VUC
05:16:37,253.68,SÃO PAULO,TOCO
07:00:49,253.33,MACAÉ,CARRETA
05:50:34,253.19,MACAÉ,CARRETA
05:48:33,252.98,SÃO PAULO,VUC
05:51:16,252.57,SÃO PAULO,TOCO
05:49:59,252.55,MACAÉ,CARRETA
05:35:27,251.93,SÃO PAULO,VUC
